Hist nr.	Date of birth	Date of poly (I:C)	Date of death	Time after poly (I:C) (m)	Age at death (m)	Thymus (mg)	Spleen (mg)	WBC (·109/L)	Diagnosis (Based on pathology & FACS) (t=thymus, s=spleen, l=liver, ln=lymph node, k=kidney, i=intestine)	Mad2 DNA switching in % (PCR)	Mad2 DNA 2^-ΔΔCp (gDNA qPCR) compared to normal unswitched spleen	Mad2 RNA 2^-ΔΔCp (cDNA qPCR) compared to MPS1 s	Single cell sequencing	Bulk sequencing	RNA sequencing	CIS analysis	Sample for analysis Michael	Complete
145	10/01/13	20/03/13	29/07/13	4.3	6.6	n.a.	1970	n.a.	Other lymphoma (s)	90 (s)	0,12 (s)	0.82	n.a.	S; aneuploid (1805)	n.a.	S	S	n; could not isolate good RNA 
155	09/01/13	20/03/13	21/08/13	5.1	7.4	380	680	n.a.	T-cell lymphoma (t, s)	90 (t)	0,05 (t)	0,02 (t), 0,66(s)	n.a.	S; euploid (1805)	S (1806)	S	S	y
157	03/03/13	05/06/13	13/09/13	3.3	6.4	n.a.	877	n.a.	Other lymphoma (s)	80 (s)	0,06 (s)	0,02 (s)	n.a.	S; aneuploid	S	S	S	y
180	20/02/13	05/06/13	22/10/13	4.6	8.0	729	413	n.a.	T-cell lymphoma (t)	90 (t)	0,02 (t)	0,02 (t)	n.a.	S; aneuploid	T, S (1806)	S, T (1804)	S	y
184	20/02/13	05/06/13	28/10/13	4.8	8.2	966	856	n.a.	T-cell lymphoma (t, s)	90 (t)	0,11 (t)	0,05 (t), 0,04 (s)	n.a.	S, T; aneuploid	T	S, T (1804)	T & S = different	y
207	20/02/13	05/06/13	13/01/14	7.3	10.8	n.a.	153	n.a.	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
210	20/02/13	05/06/13	17/01/14	7.4	10.9	230	107	n.a.	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
212	20/02/13	05/06/13	31/01/14	7.9	11.3	400	1400	n.a.	Myeloid leukaemia (t, s)	85 (s)	0,17 (t)	0,02 (s), 0,04 (t)	n.a.	S; aneuploid	S (1806)	S	S	y
213	20/02/13	05/06/13	02/02/14	8.0	11.4	30	170	n.a.	No leukaemia/ lymphoma	50 (s)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
000	20/02/13	05/06/13	10/09/13	3.2	6.6	n.a.	n.a.	n.a.	Not analysed (discarded by animal caretakers)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
401	15/12/14	06/03/15	20/07/15	4.5	7.1	395	755	28.0	T-cell lymphoma (t, s)	90 (t, s)	0,03 (t)	0,03 (t), 0,02 (s)	T; aneuploid	T; aneuploid	T	T, S, Bm	T	y
402	21/12/14	06/03/15	22/07/15	4.5	7.0	45	2100	>100	Other lymphoma (s, l)	100 (s)	0,01 (s)	0,01 (s)	n.a.	S; aneuploid	S (1806)	S, Bl, Bm	S	y
403	17/12/14	06/03/15	27/07/15	4.7	7.3	1450	110	n.a.	T-cell lymphoma (t)	90 (t)	0,04 (t)	0,00 (t)	n.a.	T; aneuploid	T (1806)	T (1804)	T	y
404	17/12/14	06/03/15	27/07/15	4.7	7.3	53	1390	13.0	Other lymphoma (s)	90 (s)	0,05 (s)	0,01 (s)	n.a.	S; bit aneuploid	S	S, Bm	S	y
405	20/12/14	06/03/15	27/07/15	4.7	7.2	29	1540	6.4	Other lymphoma (s)	90 (s)	0,02 (s)	0,20 (s)	n.a.	S; aneuploid	S (1806)	S, Bm	S	y
406	21/12/14	06/03/15	27/07/15	4.7	7.2	21	128	5.4	T-cell lymphoma (s)	50 (s)	0,46 (s)	0,25 (s)	n.a.	S; euploid	S (1806)	S, Bm	S	y
407	17/12/14	06/03/15	29/07/15	4.8	7.4	749	150	2.0	T-cell lymphoma (t)	90 (t)	0,05 (t)	0,06 (t)	n.a.	T; aneuploid	T	T	T	y
408	18/12/14	06/03/15	29/07/15	4.8	7.3	58	259	4.1	No leukaemia/ lymphoma 	n.a.	n.a.	n.a.	n.a.	S; not sure	n.a.	S, Bm	n.a.	
409	25/11/14	06/03/15	05/08/15	5.0	8.3	30	1800	48.9	Other lymphoma (s, l)	90 (s)	0,02 (s)	0,01 (s)	n.a.	S; aneuploid (1805)	S	S, Bm	S	y
410	09/01/15	30/04/15	10/08/15	3.4	7.0	311	1450	10.1	T-cell lymphoma (t, s, ln, k)	90 (s)	0,16 (t)	0,01 (t), 0,12 (s)	n.a.	S & T aneuploid	S (1806)	S, Bm, lln, uln	S	y
411	17/12/14	06/03/15	02/09/15	5.9	8.5	10	1450	74.7	Other lymphoma (s)	90 (s)	0,04 (s)	0,00 (s)	n.a.	S; aneuploid	S	S, B	S	y
412	18/12/14	06/03/15	02/09/15	5.9	8.5	18	1170	16.3	Other lymphoma (s, l)	90 (s)	0,16 (s)	0,11 (s)	n.a.	S; aneuploid	S	S, Bm	S	y
413	17/12/14	06/03/15	10/09/15	6.2	8.8	22	2400	5.6	Other lymphoma (s)	100 (s)	0,01 (s)	0,01 (s)	S; aneuploid	S; aneuploid (wavy) (1805) & Feb 2018; mix up?	S	S, Bm	S	y
414	17/12/14	06/03/15	10/09/15	6.2	8.8	n.a.	135	4.3	No leukaemia/ lymphoma	50 (s)	n.a.	n.a.	n.a.	n.a.	n.a.	S, Bm	n.a.	
415	20/12/14	06/03/15	18/09/15	6.4	8.9	63	342	7.4	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	S; euploid	n.a.	Bm	n.a.	
416	06/02/15	30/04/15	18/09/15	4.6	7.4	22	863	>100	Other lymphoma (s, l)	50 (s)	0,25 (s)	1,26 (s)	n.a.	S; euploid	S	S	S	y
417	25/11/14	06/03/15	22/09/15	6.6	9.9	5	655	n.a.	Other lymphoma (s, l)	70 (s)	0,14 (s)	0,06 (s)	n.a.	S; aneuploid	S	S, Bm	S	y
418	12/01/15	30/04/15	05/10/15	5.2	8.7	1340	142	5.6	T-cell lymphoma (t)	95 (t)	0,03 (t)	0,03 (t)	n.a.	T; aneuploid	T	T, S	T	y
419	18/12/14	06/03/15	13/10/15	7.3	9.8	1400	132	7.7	T-cell lymphoma (t)	100 (t)	0,06 (t)	0,02 (t)	T; aneuploid	T; aneuploid	T	T, Bm	T	y
420	24/12/14	06/03/15	28/09/15	6.8	9.1	n.a.	n.a.	n.a.	Not analysed (dead in cage, discarded)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
421	06/02/15	30/04/15	22/10/15	5.8	8.5	83	143	9.5	Other lymphoma/ histiocytic sarcoma (ln)	n.a.	n.a.	n.a.	n.a.	S; euploid (1805)	S (1806)	S (1804)	S	y
422	21/12/14	06/03/15	30/10/15	7.8	10.3	27	855	16.3	Other lymphoma (s)	90 (s)	0,11 (s)	0,16 (s)	n.a.	S; aneuploid	S	T, S, Bl, Bm	S	y
423	27/02/15	30/04/15	30/10/15	6.0	8.1	1700	159	4.1	T-cell lymphoma (t)	90 (t)	n.a.	0,03 (t)	n.a.	T: aneuploid	T (1806)	T, Bm	T	y
424	01/02/15	30/04/15	06/11/15	6.2	9.1	46	784	38.8	Other lymphoma (s)	50 (s)	0,70 (s)	1,12 (s)	n.a.	S; euploid	S	S, Bl, Bm	S	y
425	31/01/15	30/04/15	12/11/15	6.4	9.4	47	804	n.a.	Other lymphoma (s, l)	50 (s)	0,54 (s)	0,76 (s)	n.a.	S; aneuploid	S (1806)	S, Bl, Bm	S	y
426	17/12/14	06/03/15	27/11/15	8.7	11.3	16	142	8.7	No leukaemia/ lymphoma	30 (s)	n.a.	n.a.	n.a.	n.a.	n.a.	S, Bm	n.a.	
427	16/12/14	06/03/15	27/11/15	8.7	11.4	24	196	5.9	No leukaemia/ lymphoma	50 (s)	n.a.	n.a.	n.a.	n.a.	n.a.	Bm	n.a.	
428	18/02/15	30/04/15	30/11/15	7.0	9.4	40	1000	26.8	Other lymphoma (s)	90 (s)	0,03 (s)	0,10 (s)	n.a.	S; aneuploid	S	S, Bl, Bm	S	y
429	31/01/15	30/04/15	04/01/16	8.2	11.1	18	2000	9.6	Other lymphoma (s)	90 (s)	0,04 (s)	0,01 (s)	n.a.	S; aneuploid	S	S, Bm	S	y
430	26/11/14	06/03/15	04/01/16	10.0	13.3	21	218	2.4	No leukaemia/ lymphoma	60 (s)	n.a.	n.a.	n.a.	n.a.	n.a.	S, Bm	n.a.	
431	06/02/15	30/04/15	15/01/16	8.5	11.3	60	2600	2.7	No leukaemia/ lymphoma	90 (s)	0,02 (s)	0,02 (s)	n.a.	S; aneuploid	S	S, Bm	S	y
432	18/02/15	30/04/15	15/01/16	8.5	10.9	20	853	62.1	Other lymphoma (s)	60 (s)	0,47 (s)	0,73 (s)	n.a.	S; euploid	S (1806)	S, Bm	S	y
433	18/02/15	30/04/15	27/01/16	8.9	11.3	33	122	9.5	No leukaemia/ lymphoma	50 (s)	n.a.	n.a.	n.a.	n.a.	n.a.	Bm	n.a.	
434	31/01/15	30/04/15	05/02/16	9.2	12.2	n.a.	1300	12.1	Other lymphoma (s, l)	60 (s)	0,09 (s)	0,33 (s)	n.a.	S; aneuploid	S	S	S	y
435	08/02/15	30/04/15	12/02/16	9.5	12.1	17	974	20.5	Other lymphoma (s, l)	60 (s)	0,49 (s)	0,65 (s)	n.a.	S; aneuploid	S	S, Bm	S	y
436	26/11/14	06/03/15	26/02/16	11.7	15.0	19	180	5.9	No leukaemia/ lymphoma	60 (s)	n.a.	n.a.	n.a.	n.a.	n.a.	S, Bm	n.a.	
437	18/02/15	30/04/15	26/02/16	9.9	12.3	27	731	48.8	Other lymphoma (s, l)	60 (s)	0,51 (s)	0,51 (s)	n.a.	S; euploid	S	S, B	S	y
438	26/11/14	06/03/15	12/04/16	13.2	16.5	25	122	5.1	No leukaemia/ lymphoma	70 (s)	n.a.	n.a.	n.a.	n.a.	n.a.	S, Bm	n.a.	
439	06/02/15	30/04/15	12/04/16	11.4	14.2	21	224	4.0	No leukaemia/ lymphoma	50 (s)	n.a.	n.a.	n.a.	n.a.	n.a.	S, Bm	n.a.	
440	21/12/14	06/03/15	22/04/16	13.6	16.0	260	864	36.8	Other lymphoma (s, l)	n.a.	0,11 (t)	0,02 (t), 0,18 (s)	n.a.	S; aneuploid	S (1806)	S, Bl, Bm	S	y
441	06/03/15	30/04/15	22/04/16	11.8	13.6	40	178	4.5	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	S	n.a.	
442	09/01/15	30/04/15	11/05/16	12.4	16.0	49	810	15.9	Other lymphoma (s, l)	80 (s)	0,17 (t)	0,14 (t), 0,13 (s)	n.a.	S; aneuploid	S	S, B	S	y
443	26/11/14	06/03/15	11/05/16	14.2	17.5	457	1400	14.9	T-cell lymphoma (s, l, ln)	80 (s)	0,02 (s)	0,04 (t)	n.a.	T, S; aneuploid	T, S (1806)	T, S, Bl, Bm	T&S = different 	y
444	12/01/15	30/04/15	30/05/16	13.0	16.6	72	427	n.a.	Myeloid leukaemia (s)	40 (s)	0,63 (s)	0,45 (s)	n.a.	S; euploid	S (1806)	S	S	y
445	02/03/15	30/04/15	30/05/16	13.0	15.0	114	250	n.a.	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	S; aneuploid?	n.a.	S, Bm	n.a.	
446	24/12/14	06/03/15	14/06/16	15.3	17.7	1500	600	n.a.	T-cell lymphoma (s, t)	80 (s)	0,13 (t)	0,02 (t)	n.a.	S; aneuploid	S (1806)	S	S	y
447	20/12/14	06/03/15	20/06/16	15.5	18.0	20	292	6.9	Myeloid leukaemia (s, ln)	50 (s), 90 (ln)	0,47 (s)	0,43 (s)	n.a.	S; euploid	S (1806)	S	S	y
448	08/02/15	30/04/15	20/06/16	13.7	16.4	25	266	4.5	No leukaemia/ lymphoma	50 (s)	n.a.	n.a.	n.a.	n.a.	n.a.	S	n.a.	
449	31/01/15	30/04/15	22/06/16	13.8	16.7	142	1900	18.2	T-cell lymphoma (t, s, l, ln)	90 (s), 95 (ln)	0,10 (t)	0,01 (t), 0,15 (s)	n.a.	S; aneuploid	T, S (1806)	S	S	y
450	21/12/14	06/03/15	30/06/16	15.8	18.3	n.a.	200	n.a.	No leukaemia/ lymphoma	10 (s)	n.a.	1,09 (S)	n.a.	n.a.	n.a.	n.a.	n.a.	
451	20/12/14	06/03/15	04/07/16	16.0	18.5	36	1000	2.0	Myeloid leukaemia (s, l)	90 (s)	0,22 (s)	1.40	n.a.	S; euploid	S	S	S	y
452	21/12/14	06/03/15	04/07/16	16.0	18.4	929	98	n.a.	T-cell lymphoma (t)	100 (t)	0,01 (t)	0,03 (t), 0,17 (s)	n.a.	T; aneuploid	T	S, T (1804)	T	y
453	12/01/15	30/04/15	06/07/16	14.2	17.8	38	150	7.5	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
454	31/01/15	30/04/15	12/07/16	14.4	17.4	37	171	5.8	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
455	26/11/14	06/03/15	23/07/16	16.6	19.9	40	206	10.4	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
456	12/01/15	30/04/15	23/07/16	14.8	18.3	449	160	7.5	T-cell lymphoma (t, s)	90 (t)	0,09 (t)	0,06 (t)	n.a.	T; aneuploid	T (1806)	T	T	y
457	21/12/14	06/03/15	23/07/16	16.6	19.1	n.a.	278	5.7	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
458	18/02/15	30/04/15	28/07/16	15.0	17.3	60	143	12.6	T-cell lymphoma (t)	n.a.	n.a.	n.a.	n.a.	T; euploid (1805)	n.a.	T (1804)	T	n; no more sample for RNA seq
459	26/11/14	06/03/15	28/07/16	16.8	20.1	66	212	7.4	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
460	21/12/14	06/03/15	11/08/16	17.2	19.7	52	302	21.5	No leukaemia/ lymphoma	10 (s)	0,79 (s)	1,42 (s)	n.a.	n.a.	n.a.	S	n.a.	
461	06/02/15	30/04/15	11/08/16	15.4	18.1	42	605	24.4	Other lymphoma (s)	70 (s)	0,46 (s)	0,88 (s)	n.a.	S; euploid	S (1806)	S	S	y
462	06/02/15	30/04/15	11/08/16	15.4	18.1	63	2450	7.2	Myeloid leukaemia (s)	90 (s)	0,11 (s)	0.01	n.a.	S; aneuploid	S	S	S	y
463	31/01/15	30/04/15	29/08/16	16.0	18.9	n.a.	93	n.a.	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
464	18/02/15	30/04/15	29/08/16	16.0	18.3	21	275	4.6	No leukaemia/ lymphoma	60 (s)	n.a.	n.a.	n.a.	S; euploid	n.a.	n.a.	n.a.	
465	18/02/15	30/04/15	29/08/16	16.0	18.3	37	116	10.5	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
466	31/01/15	30/04/15	31/08/16	16.1	19.0	n.a.	112	9.3	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
467	18/02/15	30/04/15	31/08/16	16.1	18.4	n.a.	814	22.7	Myeloid leukaemia (s)	20 (s)	0,84 (s)	0,97 (s)	n.a.	S; aneuploid	S (1806)	S	S	y
468	21/12/14	06/03/15	31/08/16	17.9	20.4	20	146	3.8	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
469	06/02/15	30/04/15	16/09/16	16.6	19.3	20	124	6.7	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
470	18/02/15	30/04/15	16/09/16	16.6	18.9	35	210	6.0	Myeloid leukaemia (s, i)	n.a.	n.a.	n.a.	n.a.	S; euploid	S (1806)	S (1804)	S	y
471	18/12/14	06/03/15	20/09/16	18.5	21.1	21	131	2.3	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
472	01/02/15	30/04/15	03/10/16	17.2	20.1	174	187	7.9	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
473	31/01/15	30/04/15	14/10/16	17.5	20.4	50	936	n.a.	Myeloid leukaemia (s)	50 (s)	0,68 (s)	0,71 (s)	n.a.	S; aneuploid	S (1806)	S	S	y
474	15/12/14	06/03/15	26/10/16	19.7	22.4	n.a.	323	6.0	Myeloid leukaemia (s, l)	60 (s)	0,43 (s)	30,99 (s)	n.a.	S; euploid (1805)	S (1806)	S	S	y
475	20/12/14	06/03/15	26/10/16	19.7	22.2	n.a.	216	17.3	No leukaemia/ lymphoma	60 (s)	0,45 (s)	1,50 (s)	n.a.	n.a.	n.a.	S	n.a.	
476	06/02/15	30/04/15	09/11/16	18.4	21.1	n.a.	535	17.3	Other lymphoma (s, l)	60 (s)	0,49 (s)	1,40 (s)	n.a.	S; euploid	S	S	S	y
477	02/03/15	30/04/15	16/11/16	18.6	20.5	1240	1250	7.4	T-cell lymphoma (t, s)	80 (s)	0,15 (t)	0,02 (t), 28,97 (s)	n.a.	(62) S; aneuploid (93) T; aneuploid	T	T, S	T	y
478	17/12/14	06/03/15	16/11/16	20.4	23.0	n.a.	434	5.2	No leukaemia/ lymphoma	60 (s)	0,54 (s)	0,32 (s)	n.a.	S; euploid	n.a.	S	n.a.	
479	27/02/15	30/04/15	16/11/16	18.6	20.6	40	130	4.9	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
480	12/01/15	30/04/15	16/11/16	18.6	22.2	36	380	6.4	No leukaemia/ lymphoma	60 (s)	0,47 (s)	24,20 (s)	n.a.	n.a.	n.a.	S	n.a.	
481	18/02/15	30/04/15	22/11/16	18.8	21.1	n.a.	420	9.8	Myeloid leukaemia (s)	60 (s)	0,41 (s)	0,67 (s)	n.a.	S; euploid (1805)	S (1806)	S	S	y
482	15/12/14	06/03/15	22/11/16	20.6	23.3	n.a.	809	3.7	Other lymphoma (s)	60 (s)	0,43 (s)	0,32 (s)	n.a.	S; euploid	S	S	S	y
483	18/02/15	30/04/15	28/11/16	19.0	21.3	n.a.	128	3.3	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
484	17/12/14	06/03/15	07/12/16	21.1	23.7	n.a.	n.a.	n.a.	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
485	17/12/14	06/03/15	19/12/16	21.5	24.1	34	326	2.9	Other lymphoma (s, ln)	60 (s)	0,51 (s)	0,12 (s)	n.a.	S; euploid	S (1806)	S	S	y
486	09/01/15	30/04/15	06/01/17	20.3	23.9	n.a.	132	7.0	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
487	03/02/15	30/04/15	06/01/17	20.3	23.1	n.a.	110	5.1	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
488	18/02/15	30/04/15	12/01/17	20.5	22.8	n.a.	1500	6.6	Myeloid leukaemia (s)	n.a.	n.a.	n.a.	n.a.	S; euploid	S (1806)	S (1804)	S	y
489	06/02/15	30/04/15	12/01/17	20.5	23.2	n.a.	388	3.9	Myeloid leukaemia (s)	60 (s)	0,36 (s)	151.87	n.a.	S; euploid	S	S	S	y
490	03/02/15	30/04/15	20/01/17	20.7	23.6	n.a.	124	6.1	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
595	12/01/15	30/04/15	17/02/17	21.7	25.2	n.a.	304	12.5	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
599	12/01/15	30/04/15	09/03/17	22.3	25.9	n.a.	302	4.4	No leukaemia/ lymphoma	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
601	1/24/2016	3/30/2016	4/13/2017	12.5	14.6	n.a.	472	n.a.	Myeloid leukaemia (s)	n.a.	n.a.	n.a.	n.a.	S; euploid	S (1806)	S (1804)	S	y
602	12/27/2015	3/7/2016	5/29/2017	14.7	17.1	93	98	7.6	T-cell lymphoma (t)	n.a.	n.a.	n.a.	n.a.	T; euploid	T (1806)	T (1804)	T	y
603	8/4/2016	10/12/2016	6/21/2017	8.3	10.6	n.a.	402	5.0		n.a.	n.a.	n.a.	n.a.	S; euploid	S (1806)	S (1804)	S	y
604	1/2/2016	3/7/2016	7/7/2017	16.0	18.1	n.a.	2820	25.0		n.a.	n.a.	n.a.	n.a.	S; euploid	S (1806)	S (1804)	S	y
605	3/29/2016	5/25/2016	7/7/2017	13.4	15.3	48	626	7.2		n.a.	n.a.	n.a.	n.a.	S; euploid	S (1806)	S (1804)	S	y
606	1/24/2016	3/30/2016	7/24/2017	15.8	18.0	n.a.	678	37.1		n.a.	n.a.	n.a.	n.a.	S; euploid	S (1806)	S (1804)	S	y
607	3/21/2016	5/25/2016	8/7/2017	14.4	16.6	114	258	9.1		n.a.	n.a.	n.a.	n.a.	T; euploid	T (1806)	T (1804)	T	y
608	1/21/2016	3/30/2016	8/14/2017	16.5	18.8	n.a.	157	4.2		n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
609	2/16/2016	5/9/2016	8/14/2017	15.2	17.9	n.a.	1680	690		n.a.	n.a.	n.a.	n.a.	S; bit aneuploid	S (1806)	S (1804)	S	y
610	12/27/2015	3/7/2016	9/18/2017	18.4	20.7	n.a.	320	9.4		n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	S	n.a.	
611	2/16/2016	5/9/2016	10/9/2017	17.0	19.8	n.a.	2920	9.4		n.a.	n.a.	n.a.	n.a.	S; euploid	n.a.	n.a.	n.a.	n
612	11/13/2016	1/24/2017	11/13/2017	9.6	12.0	521	378	95.7		n.a.	n.a.	n.a.	n.a.	T; euploid	T (1806)	S, T (1804)	T	y
613	1/21/2016	3/30/2016	11/20/2017	19.7	22.0	924	1779	56.0		n.a.	n.a.	n.a.	n.a.	T; bit aneuploid, S;fail	T (1806)	S, T (1804)	T	y
614	1/21/2016	3/30/2016	11/20/2017	19.7	22.0	n.a.	195	na		n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
615	1/2/2016	3/7/2016	11/23/2017	20.6	22.7	n.a.	857	7.0		n.a.	n.a.	n.a.	n.a.	S; euploid (1805	S (1806)	S (1804)	S	y
616	1/2/2016	3/7/2016	12/4/2017	20.9	23.1	n.a.	96	15.0		n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
617	11/13/2016	1/24/2017	12/4/2017	10.3	12.7	n.a.	1458	3.8		n.a.	n.a.	n.a.	n.a.	S; euploid	S (1806)	S (1804)	S	y
618	1/21/2016	3/30/2016	12/20/2017	20.7	23.0	n.a.	768	12.5		n.a.	n.a.	n.a.	n.a.	S; euploid	S (1806)	S (1804)	S	y
619	12/27/2015	3/7/2016	12/27/2017	21.7	24.0	n.a.	623	8.9		n.a.	n.a.	n.a.	n.a.	S; euploid	S (1806)	S (1804)	S	y
620	1/2/2016	3/7/2016	1/17/2018	22.4	24.5	n.a.	562	61.7		n.a.	n.a.	n.a.	n.a.	S; bit aneuploid	S (1806)	S (1804)	S	y
621	12/7/2016	1/24/2017	1/22/2018	11.9	13.5	n.a.	604	n.a.		n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	S (1804)	n.a.	n; could not isolate RNA (dead tissue)
622	8/13/2016	10/12/2016	2/16/2018	16.2	18.1	75	1222	9.4		n.a.	n.a.	n.a.	n.a.	S; repeating 180709	S (1806)	S (1804)	S	n
623	11/15/2016	1/24/2017	2/16/2018	12.8	15.1	n.a.	175	3.6		n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
624	12/27/2015	3/7/2016	2/23/2018	23.6	25.9	n.a.	311	8.5		n.a.	n.a.	n.a.	n.a.	S; repeating 180709	S (1806)	S (1804)	S	n
625	8/4/2016	10/12/2016	3/5/2018	16.7	19.0	n.a.	77	15.6		n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
626	3/21/2016	5/25/2016	3/16/2018	21.7	23.8	n.a.	78	10.4		n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
627	11/13/2016	1/24/2017	3/26/2018	14.0	16.4	n.a.	1225	7		n.a.	n.a.	n.a.	n.a.	S; repeating 180709	S (1806)	S (1804)	S	n
628	2/16/2016	5/9/2016	4/3/2018	22.8	25.5	n.a.	586.0	5.7		n.a.	n.a.	n.a.	n.a.	S; repeating 180709	S (1806)	n.a.	n.a.	n
629	11/12/2016	1/24/2017	4/3/2018	14.3	16.7	n.a.	3053	7.3		n.a.	n.a.	n.a.	n.a.	S; euploid (1805)	S (1806)	n.a.	n.a.	n
630	10/26/2016	1/24/2017	4/26/2018	15.0	18.0	n.a.	1350	n.a.		n.a.	n.a.	n.a.	n.a.	S; euploid (1805)	S (1806)	n.a.	n.a.	n
631	11/15/2016	1/24/2017	5/1/2018	15.2	17.5	n.a.	589	6.1		n.a.	n.a.	n.a.	n.a.	S; euploid (1805)	S (1806)	n.a.	n.a.	n
632	11/13/2016	1/24/2017	5/7/2018	15.4	17.8	n.a.	1765	32.8		n.a.	n.a.	n.a.	n.a.	S; euploid (1805)	S (1806)	n.a.	n.a.	n
633	3/21/2016	5/25/2016	6/28/2018	25.1	27.3	n.a.	1253	17.7		n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n
